State,Latitude,Longitude
Alabama,32.3182,-86.9023
Alaska,66.2573,-152.6309
Arizona,34.0489,-111.0934
Arkansas,34.9697,-92.3731
California,36.7783,-119.4179
Colorado,38.9973,-105.5478
Connecticut,41.6032,-72.7093
Delaware,39.19,-75.5244
Florida,27.7663,-81.6861
Georgia,33.0406,-83.6431
Hawaii,21.1583,-157.8583
Idaho,44.0682,-114.742
Illinois,40.6331,-89.3985
Indiana,39.8491,-86.2583
Iowa,42.0115,-93.2105
Kansas,38.5266,-96.7265
Kentucky,37.6681,-84.6701
Louisiana,31.1694,-91.867
Maine,44.6939,-69.3819
Maryland,39.0458,-76.6412
Massachusetts,42.2305,-71.5301
Michigan,43.3266,-84.7959
Minnesota,45.6945,-93.9002
Mississippi,32.7416,-89.6787
Missouri,38.3073,-92.439
Montana,46.9219,-110.4544
Nebraska,41.1254,-98.2681
Nevada,38.3135,-117.0554
New Hampshire,43.4525,-71.5639
New Jersey,40.2989,-74.521
New Mexico,34.8405,-106.2485
New York,42.1657,-74.9481
North Carolina,35.6301,-79.8064
North Dakota,47.5289,-99.784
Ohio,40.3888,-82.7642
Oklahoma,35.5653,-96.7285
Oregon,43.8041,-120.5542
Pennsylvania,40.5908,-77.209
Rhode Island,41.6809,-71.5118
South Carolina,33.8569,-80.945
South Dakota,44.2998,-99.4388
Tennessee,35.7478,-86.6923
Texas,31.0545,-100.1121
Utah,40.15,-111.8625
Vermont,44.0479,-72.7107
Virginia,37.7694,-78.1699
Washington,47.4009,-121.4905
West Virginia,38.4912,-80.9545
Wisconsin,44.2685,-89.6165
Wyoming,42.7559,-107.3025